mode, top_cut, ratio, title, link, score
mean_pooling, warm jacket, 2, 0.30000000000000004, Kids Hurdle II Jacket, https://www.cotswoldoutdoor.com/p/regatta-kids-hurdle-ii-jacket-C2124110.html, 0.07359684155854863
mean_pooling, warm jacket, 2, 0.30000000000000004, Girls Rainy Days Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-girls-rainy-days-jacket-C2124100.html, 0.07555400258696046
mean_pooling, warm jacket, 2, 0.4, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 0.060473257379479284
mean_pooling, warm jacket, 2, 0.4, Mens Fleet Jacket, https://www.cotswoldoutdoor.com/p/montane-mens-fleet-jacket-A1115070.html, 0.06444382867081402
mean_pooling, warm jacket, 2, 0.4, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.06568081932117659
mean_pooling, warm jacket, 2, 0.4, Pathfinder Lite Chair, https://www.cotswoldoutdoor.com/p/robens-pathfinder-lite-chair-D3114081.html, 0.06876745952695303
mean_pooling, warm jacket, 2, 0.4, Switch Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-switch-jacket-A1724068.html, 0.07102748873846962
mean_pooling, warm jacket, 2, 0.4, T5 Cotton Duck Hat, https://www.cotswoldoutdoor.com/p/tilley-t5-cotton-duck-hat-A3412025.html, 0.07113268098371954
mean_pooling, warm jacket, 2, 0.4, Mens Trembler Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-trembler-jacket-A1724342.html, 0.07132780558444995
mean_pooling, warm jacket, 2, 0.4, Square Sunglasses, https://www.cotswoldoutdoor.com/p/bloc-square-sunglasses-E5114335.html, 0.07261631339597377
mean_pooling, warm jacket, 2, 0.4, Girls Rainy Days Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-girls-rainy-days-jacket-C2124100.html, 0.07379798418776662
mean_pooling, warm jacket, 2, 0.4, Kids Hurdle II Jacket, https://www.cotswoldoutdoor.com/p/regatta-kids-hurdle-ii-jacket-C2124110.html, 0.07417857599722946
mean_pooling, warm jacket, 2, 0.5, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 0.05703484205068274
mean_pooling, warm jacket, 2, 0.5, Mens Fleet Jacket, https://www.cotswoldoutdoor.com/p/montane-mens-fleet-jacket-A1115070.html, 0.06382773911067624
mean_pooling, warm jacket, 2, 0.5, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.06401665527076963
mean_pooling, warm jacket, 2, 0.5, Pathfinder Lite Chair, https://www.cotswoldoutdoor.com/p/robens-pathfinder-lite-chair-D3114081.html, 0.06828138651150129
mean_pooling, warm jacket, 2, 0.5, Mens Trembler Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-trembler-jacket-A1724342.html, 0.07151956907816642
mean_pooling, warm jacket, 2, 0.5, T5 Cotton Duck Hat, https://www.cotswoldoutdoor.com/p/tilley-t5-cotton-duck-hat-A3412025.html, 0.0719930091978461
mean_pooling, warm jacket, 2, 0.5, Mens Lefroy Pants, https://www.cotswoldoutdoor.com/p/arc-teryx-mens-lefroy-pants-A1B13790.html, 0.0720308912992701
mean_pooling, warm jacket, 2, 0.5, Girls Rainy Days Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-girls-rainy-days-jacket-C2124100.html, 0.07204196578857278
mean_pooling, warm jacket, 2, 0.5, Mens Short Sleeve Mountain Exploration T-Shirt, https://www.cotswoldoutdoor.com/p/the-north-face-mens-short-sleeve-mountain-exploration-t-shirt-A1814989.html, 0.07216349374832964
mean_pooling, warm jacket, 2, 0.5, Womens Tokee Fleece Jacket, https://www.cotswoldoutdoor.com/p/jack-wolfskin-womens-tokee-fleece-jacket-A4725280.html, 0.07247614059228341
mean_pooling, warm jacket, 2, 0.6, Mens Rupal Jacket, https://www.cotswoldoutdoor.com/p/mountain-equipment-mens-rupal-jacket-A1114304.html, 0.05359642672188619
mean_pooling, warm jacket, 2, 0.6, Mens Cornice III Jacket, https://www.cotswoldoutdoor.com/p/berghaus-mens-cornice-iii-jacket-A1113261.html, 0.062352491220362696
mean_pooling, warm jacket, 2, 0.6, Mens Fleet Jacket, https://www.cotswoldoutdoor.com/p/montane-mens-fleet-jacket-A1115070.html, 0.06321164955053846
mean_pooling, warm jacket, 2, 0.6, Mens Short Sleeve Mountain Exploration T-Shirt, https://www.cotswoldoutdoor.com/p/the-north-face-mens-short-sleeve-mountain-exploration-t-shirt-A1814989.html, 0.06624303527546464
mean_pooling, warm jacket, 2, 0.6, Pathfinder Lite Chair, https://www.cotswoldoutdoor.com/p/robens-pathfinder-lite-chair-D3114081.html, 0.06779531349604956
mean_pooling, warm jacket, 2, 0.6, Mens Lefroy Pants, https://www.cotswoldoutdoor.com/p/arc-teryx-mens-lefroy-pants-A1B13790.html, 0.06903812184287243
mean_pooling, warm jacket, 2, 0.6, Men's Evolve II Triclimate Jacket, https://www.cotswoldoutdoor.com/p/the-north-face-men-s-evolve-ii-triclimate-jacket-A1312159.html, 0.06998804850179419
